transaction_id,account_id,timestamp,amount,currency,transaction_type,merchant_id,status
TXN_6bbeffeb0e5e,ACC_c53dd6f981b8,2024-05-20 00:00:00,12252.14,EUR,DEBIT,MER_7601be8c278c,COMPLETED
TXN_b73c6c523986,ACC_42d5bd7027b7,2024-02-17 00:00:00,10939.71,CNY,REFUND,MER_0e0d400ddb96,PENDING
TXN_759433c40723,ACC_2b0f2980edaa,2024-08-02 00:00:00,11029.83,CNY,TRANSFER,MER_f4a6b244ba26,COMPLETED
TXN_284db7d1117f,ACC_6665ba1c3343,2024-08-04 00:00:00,17019.12,EUR,CREDIT,MER_a6c8ec4fe5cf,FAILED
TXN_b3f97ea59539,ACC_6fc501fdebbb,2024-07-02 00:00:00,42376.24,CNY,TRANSFER,MER_944ca12d6097,CANCELLED
TXN_3fc665a12b4d,ACC_4742ad26c551,2024-07-12 00:00:00,3949.22,GBP,REFUND,MER_677fc5db67df,FAILED
TXN_e310e9a45784,ACC_5eddd6677b41,2024-01-24 00:00:00,33066.55,GBP,DEBIT,MER_928e399af1dc,COMPLETED
TXN_d728fab95b34,ACC_2b305cf916ef,2024-07-05 00:00:00,8141.08,GBP,CREDIT,MER_658484346679,COMPLETED
TXN_376035373c2b,ACC_ae73a823a67f,2024-05-05 00:00:00,8178.49,JPY,TRANSFER,MER_4984e5a02684,PENDING
TXN_8c637673c59d,ACC_f7f4fc958037,2024-01-29 00:00:00,11460.11,USD,TRANSFER,MER_ed5af7b93691,COMPLETED
TXN_a674a5f62161,ACC_8195cfb3cd93,2024-06-10 00:00:00,10639.2,JPY,PAYMENT,MER_d0c349d746a6,CANCELLED
TXN_8f49bd762bf0,ACC_ee857dbf76f7,2024-10-14 00:00:00,26953.47,CNY,PAYMENT,MER_0a9f2b0c49f0,CANCELLED
TXN_0c7f82e1d50a,ACC_1073c491a787,2024-03-11 00:00:00,25481.22,USD,DEBIT,MER_a83b7a2fe765,PENDING
TXN_d1c64f0478ae,ACC_a20952e20548,2024-08-04 00:00:00,29824.49,JPY,PAYMENT,MER_c249bcfbb789,CANCELLED
TXN_a3cb8dd65da7,ACC_0969da2b290f,2024-01-06 00:00:00,34017.37,USD,REFUND,MER_88894ad3cb97,FAILED
TXN_0a0e7d394c9b,ACC_a6c60371a7a9,2024-08-20 00:00:00,172.23,GBP,REFUND,MER_dd6039d799b4,COMPLETED
TXN_cc764e872a0d,ACC_b89b1d8abed5,2024-11-23 00:00:00,25388.07,EUR,CREDIT,MER_7a7d902a7371,PENDING
TXN_264d28d68214,ACC_8d7d215d368c,2024-09-28 00:00:00,45925.49,CNY,TRANSFER,MER_bf32839915e6,COMPLETED
TXN_dd06ca293034,ACC_a075eb1be584,2024-06-06 00:00:00,11980.22,EUR,REFUND,MER_0480adf267b0,COMPLETED
TXN_9914ae2bcb6e,ACC_249b7d87620d,2024-09-29 00:00:00,38294.06,EUR,PAYMENT,MER_0a5bb6b45495,PENDING
TXN_002ecc63713e,ACC_0a8220cfe7cd,2024-08-04 00:00:00,48218.5,CNY,CREDIT,MER_766e9369d5ee,CANCELLED
TXN_a4c74ca23acc,ACC_bc593ddf3517,2024-08-12 00:00:00,44981.71,JPY,DEBIT,MER_c2b068dd6cfc,COMPLETED
TXN_90f7d836a332,ACC_43d0c4b3af3b,2024-04-27 00:00:00,29426.12,USD,DEBIT,MER_f24ef2d8f311,COMPLETED
TXN_7e118d4e7313,ACC_f99f69643f29,2024-06-18 00:00:00,3552.16,EUR,TRANSFER,MER_6983d7ea9105,PENDING
TXN_258ba72515e3,ACC_a950ca085015,2024-10-19 00:00:00,28814.82,EUR,PAYMENT,MER_0dfdfa09b62a,PENDING
TXN_541f7c280f7a,ACC_176223ff5c13,2024-06-30 00:00:00,21184.7,JPY,DEBIT,MER_1858eb2f6554,COMPLETED
TXN_964f85e2273f,ACC_90c715089ed5,2024-02-25 00:00:00,12440.33,EUR,REFUND,MER_5035eec3c750,CANCELLED
TXN_518fc10f516e,ACC_f6b04c5461df,2024-02-08 00:00:00,22162.11,CNY,DEBIT,MER_a9e175790d48,COMPLETED
TXN_5a7777cfd76d,ACC_e782acfde554,2024-05-01 00:00:00,8323.89,JPY,PAYMENT,MER_6fbd1a975fa1,CANCELLED
TXN_97a5ac8dffa5,ACC_298de3b28f6b,2024-01-02 00:00:00,49265.59,GBP,PAYMENT,MER_1a8cf8c6c8dd,CANCELLED
TXN_59250b82ac1b,ACC_ba3014d36139,2024-01-30 00:00:00,28963.22,CNY,DEBIT,MER_29cb5f65cb81,COMPLETED
TXN_3a22b132e0ad,ACC_75924178d975,2024-09-28 00:00:00,7880.06,CNY,DEBIT,MER_ae47b3034909,COMPLETED
TXN_502a1e3c2b65,ACC_b5d7f9ed21a4,2024-04-30 00:00:00,20194.74,CNY,CREDIT,MER_a7eb3ce6d08a,COMPLETED
TXN_a6dcd3ad6422,ACC_8e8eaa10527e,2024-10-25 00:00:00,28265.69,GBP,TRANSFER,MER_66b419cb0675,FAILED
TXN_891453c4db02,ACC_70d23ea143f5,2024-12-09 00:00:00,32278.58,JPY,TRANSFER,MER_c940d9c89c05,COMPLETED
TXN_3bc605833b8a,ACC_f26e8fd8c436,2024-10-15 00:00:00,49804.86,USD,REFUND,MER_c88138c6abac,FAILED
TXN_4525bf540886,ACC_9dd2f0bce91d,2024-02-05 00:00:00,43964.72,GBP,TRANSFER,MER_7b70f1224f68,FAILED
TXN_5dd4016658f1,ACC_66f76d332ff2,2024-11-30 00:00:00,26451.75,CNY,TRANSFER,MER_6c13a5158037,COMPLETED
TXN_4cffc986c8dd,ACC_b262f5ed97b5,2024-02-29 00:00:00,44486.74,CNY,CREDIT,MER_4fa8007e8c94,PENDING
TXN_073896489b66,ACC_a032cb1669de,2024-11-20 00:00:00,42647.11,CNY,PAYMENT,MER_5ee9226c11ec,COMPLETED
TXN_10b949ac3866,ACC_75d785f82d32,2024-05-21 00:00:00,2213.9,GBP,CREDIT,MER_bd771913927c,FAILED
TXN_6e37a2938fee,ACC_c696f3fadde8,2024-12-27 00:00:00,21390.07,USD,DEBIT,MER_da65a7930dcb,PENDING
TXN_a88234d3db93,ACC_a68437c56da2,2024-10-25 00:00:00,27630.73,JPY,CREDIT,MER_0233b09fea76,FAILED
TXN_a2cbc2ee16f0,ACC_d193b089e39d,2024-01-21 00:00:00,44947.24,EUR,CREDIT,MER_a9cad2446ed8,FAILED
TXN_659151851949,ACC_5a186465353f,2024-07-27 00:00:00,48692.11,EUR,CREDIT,MER_f10f5b05b226,PENDING
TXN_0376c882d005,ACC_3de25133e507,2024-06-19 00:00:00,39121.5,JPY,CREDIT,MER_626993aabecf,COMPLETED
TXN_f3d0de97e54f,ACC_58ca520fec2c,2024-08-28 00:00:00,11129.46,JPY,TRANSFER,MER_448a44a37f15,PENDING
TXN_0c06b7975393,ACC_4f509ad079c3,2024-07-23 00:00:00,16419.81,USD,TRANSFER,MER_28374fec9129,CANCELLED
TXN_2a499be84df5,ACC_fc71d36dfa01,2024-06-18 00:00:00,46962.46,USD,TRANSFER,MER_2c68108a4d4c,FAILED
TXN_0998afdf7fd0,ACC_9b52b99508b2,2024-06-25 00:00:00,36429.97,GBP,PAYMENT,MER_551b8f5d3fa2,COMPLETED
TXN_3c319833f79d,ACC_4eb0fd85be4e,2024-05-10 00:00:00,2228.88,JPY,DEBIT,MER_cf4a083b5221,PENDING
TXN_198d1d4707a7,ACC_d4235456dcb0,2024-12-06 00:00:00,46039.34,CNY,TRANSFER,MER_392b8e11ec31,COMPLETED
TXN_3f5c50191f05,ACC_ddc9b2c198f9,2024-06-07 00:00:00,33347.98,GBP,PAYMENT,MER_67d77397815b,PENDING
TXN_529389a524be,ACC_86ad710d9f06,2024-07-13 00:00:00,33869.12,EUR,REFUND,MER_86eeea00062e,CANCELLED
TXN_728e7f31a6d3,ACC_436a9ddb4526,2024-05-26 00:00:00,10517.03,CNY,REFUND,MER_e81db9def719,CANCELLED
TXN_bb382fb578e4,ACC_a82c339449e4,2024-09-18 00:00:00,23664.58,EUR,DEBIT,MER_3634908e9a4f,FAILED
TXN_420e29f0e87e,ACC_9a263dbec3fd,2024-04-30 00:00:00,33643.06,EUR,CREDIT,MER_5dfea7e1ff31,COMPLETED
TXN_8834ccd35889,ACC_64ac704d4cbf,2024-02-07 00:00:00,22776.25,CNY,CREDIT,MER_e9add5b791d5,CANCELLED
TXN_37c30da3ab24,ACC_4b6044651ae2,2024-12-01 00:00:00,34384.24,USD,PAYMENT,MER_110794c7ccc1,CANCELLED
TXN_9495eb6a942a,ACC_6f94f1ece124,2024-03-03 00:00:00,22828.53,JPY,REFUND,MER_b3d200992f78,FAILED
TXN_5f07b1627768,ACC_367cfeee73a5,2024-11-09 00:00:00,40752.18,CNY,PAYMENT,MER_bc306ca11b0e,CANCELLED
TXN_59b8bc2a19db,ACC_3869fa8a8daf,2024-08-31 00:00:00,22508.99,EUR,TRANSFER,MER_38e4093843e0,CANCELLED
