sensor_id,timestamp,temperature,humidity,pressure,location,battery_level,signal_strength
SENSOR_082,2025-12-02 19:16:12,-3.88,75.62,994.69,Building_B,73.6,-31
SENSOR_012,2025-12-02 19:16:07,22.48,22.38,985.62,Building_B,50.5,-97
SENSOR_072,2025-12-02 19:16:02,0.94,68.74,1012.7,Building_B,44.9,-65
SENSOR_001,2025-12-02 19:15:57,31.73,31.97,1005.36,Warehouse_1,15.5,-57
SENSOR_014,2025-12-02 19:15:52,-4.9,27.25,1030.85,Outdoor,26.5,-95
SENSOR_094,2025-12-02 19:15:47,15.27,29.36,1035.34,Building_A,55.2,-54
SENSOR_074,2025-12-02 19:15:42,0.58,25.22,1019.68,Warehouse_1,98.5,-71
SENSOR_013,2025-12-02 19:15:37,10.91,54.01,1030.05,Building_B,37.0,-74
SENSOR_086,2025-12-02 19:15:32,4.68,90.25,1018.88,Outdoor,63.5,-32
SENSOR_094,2025-12-02 19:15:27,3.46,54.67,996.2,Outdoor,22.0,-59
SENSOR_099,2025-12-02 19:15:22,32.68,37.18,981.93,Warehouse_1,40.1,-92
SENSOR_028,2025-12-02 19:15:17,40.22,62.54,1023.07,Building_B,65.5,-50
SENSOR_083,2025-12-02 19:15:12,15.24,39.87,994.8,Outdoor,53.9,-46
SENSOR_075,2025-12-02 19:15:07,11.97,36.45,1039.85,Outdoor,49.4,-94
SENSOR_015,2025-12-02 19:15:02,-1.59,32.0,1020.83,Outdoor,6.4,-52
SENSOR_077,2025-12-02 19:14:57,44.79,59.68,1038.26,Building_A,68.0,-86
SENSOR_088,2025-12-02 19:14:52,38.66,76.32,1026.12,Warehouse_1,11.2,-45
SENSOR_021,2025-12-02 19:14:47,14.95,91.54,1032.55,Warehouse_1,97.2,-78
SENSOR_065,2025-12-02 19:14:42,40.19,85.29,997.91,Outdoor,60.9,-81
SENSOR_048,2025-12-02 19:14:37,31.94,60.45,1026.72,Outdoor,91.8,-59
SENSOR_063,2025-12-02 19:14:32,-8.93,89.68,1032.72,Warehouse_1,23.9,-70
SENSOR_073,2025-12-02 19:14:27,42.08,26.42,1009.16,Building_A,97.8,-32
SENSOR_099,2025-12-02 19:14:22,-3.08,69.48,1036.81,Building_B,26.5,-46
SENSOR_028,2025-12-02 19:14:17,41.09,76.64,1021.39,Warehouse_1,39.9,-53
SENSOR_057,2025-12-02 19:14:12,39.48,53.86,994.87,Building_A,33.8,-30
SENSOR_030,2025-12-02 19:14:07,22.36,20.54,1022.47,Building_A,22.9,-96
SENSOR_043,2025-12-02 19:14:02,-6.1,37.85,1020.14,Building_B,53.9,-40
SENSOR_032,2025-12-02 19:13:57,33.15,80.56,991.42,Building_A,65.9,-55
SENSOR_055,2025-12-02 19:13:52,12.61,84.79,983.25,Building_A,6.1,-57
SENSOR_014,2025-12-02 19:13:47,3.68,34.27,1006.92,Factory_Floor,18.3,-41
SENSOR_032,2025-12-02 19:13:42,38.1,25.65,1028.48,Outdoor,9.8,-31
SENSOR_002,2025-12-02 19:13:37,43.29,89.48,1030.92,Building_B,40.6,-39
SENSOR_028,2025-12-02 19:13:32,37.56,87.68,989.88,Building_A,98.5,-67
SENSOR_059,2025-12-02 19:13:27,5.69,72.24,1023.83,Outdoor,66.2,-38
SENSOR_020,2025-12-02 19:13:22,0.44,36.33,983.51,Outdoor,6.1,-60
SENSOR_008,2025-12-02 19:13:17,-7.24,55.76,1035.16,Outdoor,15.7,-35
SENSOR_011,2025-12-02 19:13:12,36.82,25.14,984.08,Building_B,40.4,-69
SENSOR_075,2025-12-02 19:13:07,22.7,66.45,1005.15,Outdoor,56.5,-60
SENSOR_034,2025-12-02 19:13:02,1.23,73.71,994.32,Factory_Floor,13.1,-62
SENSOR_059,2025-12-02 19:12:57,7.39,76.39,984.35,Factory_Floor,62.1,-88
SENSOR_010,2025-12-02 19:12:52,19.57,57.94,987.95,Warehouse_1,88.1,-69
SENSOR_048,2025-12-02 19:12:47,5.67,52.86,1012.59,Warehouse_1,61.2,-33
SENSOR_002,2025-12-02 19:12:42,26.73,61.6,1035.91,Building_A,93.9,-83
SENSOR_034,2025-12-02 19:12:37,-3.65,28.03,1013.19,Warehouse_1,28.2,-74
SENSOR_092,2025-12-02 19:12:32,8.86,71.56,1031.17,Outdoor,48.9,-94
SENSOR_012,2025-12-02 19:12:27,24.89,82.2,982.65,Warehouse_1,77.1,-67
SENSOR_021,2025-12-02 19:12:22,30.77,61.38,1005.66,Building_A,11.2,-81
SENSOR_070,2025-12-02 19:12:17,-8.02,47.69,1013.15,Factory_Floor,12.7,-61
SENSOR_047,2025-12-02 19:12:12,39.44,79.71,1031.64,Warehouse_1,21.0,-69
SENSOR_086,2025-12-02 19:12:07,-4.35,78.51,1033.05,Factory_Floor,97.4,-81
SENSOR_031,2025-12-02 19:12:02,37.55,93.22,1028.65,Factory_Floor,2.5,-58
SENSOR_053,2025-12-02 19:11:57,34.12,84.8,1028.64,Warehouse_1,15.9,-87
SENSOR_049,2025-12-02 19:11:52,37.97,84.39,993.35,Factory_Floor,35.0,-71
SENSOR_029,2025-12-02 19:11:47,-8.7,34.48,999.7,Building_A,96.7,-65
SENSOR_045,2025-12-02 19:11:42,25.28,49.98,1038.87,Outdoor,33.1,-97
SENSOR_015,2025-12-02 19:11:37,38.24,39.59,1014.84,Warehouse_1,3.8,-45
SENSOR_045,2025-12-02 19:11:32,30.07,43.53,1016.37,Outdoor,11.6,-76
SENSOR_033,2025-12-02 19:11:27,-7.56,52.7,1011.2,Outdoor,68.7,-75
SENSOR_047,2025-12-02 19:11:22,13.72,91.17,1035.25,Outdoor,31.4,-85
SENSOR_093,2025-12-02 19:11:17,39.5,58.03,1020.01,Warehouse_1,40.2,-63
SENSOR_071,2025-12-02 19:11:12,-3.0,51.53,1036.42,Building_B,61.6,-62
SENSOR_052,2025-12-02 19:11:07,20.14,20.03,997.21,Factory_Floor,78.6,-59
SENSOR_060,2025-12-02 19:11:02,14.3,70.67,1010.67,Building_B,65.9,-64
SENSOR_066,2025-12-02 19:10:57,26.51,66.44,985.6,Building_B,67.3,-72
SENSOR_026,2025-12-02 19:10:52,-1.9,23.47,1039.04,Outdoor,85.0,-91
SENSOR_059,2025-12-02 19:10:47,12.79,67.23,991.67,Factory_Floor,49.4,-69
SENSOR_019,2025-12-02 19:10:42,26.08,20.42,1025.06,Building_A,77.8,-72
SENSOR_023,2025-12-02 19:10:37,34.23,72.19,1007.87,Outdoor,24.9,-85
SENSOR_059,2025-12-02 19:10:32,-2.67,54.85,1011.87,Outdoor,59.5,-44
SENSOR_079,2025-12-02 19:10:27,34.83,86.9,1005.6,Outdoor,44.6,-80
SENSOR_096,2025-12-02 19:10:22,37.38,53.76,1025.11,Warehouse_1,76.6,-34
SENSOR_063,2025-12-02 19:10:17,24.47,40.59,984.65,Warehouse_1,23.4,-58
SENSOR_041,2025-12-02 19:10:12,39.12,26.04,989.05,Factory_Floor,69.4,-73
